Sector Name,Dummy,Percentage Allocation,Scheme Name,Fund Type
Telecommunication,,9.63%,SBI Long Term Advantage Fund - Series V,ELSS
Fast Moving Consumer Goods,,8.70%,SBI Long Term Advantage Fund - Series V,ELSS
Services,,7.39%,SBI Long Term Advantage Fund - Series V,ELSS
Healthcare,,6.90%,SBI Long Term Advantage Fund - Series V,ELSS
Financial Services,,19.94%,SBI Long Term Advantage Fund - Series VI,ELSS
Services,,11.00%,SBI Long Term Advantage Fund - Series VI,ELSS
Fast Moving Consumer Goods,,7.59%,SBI Long Term Advantage Fund - Series VI,ELSS
Automobile and Auto Components,,7.43%,SBI Long Term Advantage Fund - Series VI,ELSS
Healthcare,,7.24%,SBI Long Term Advantage Fund - Series VI,ELSS
Financial Services,,24.56%,SBI Long Term Equity Fund,ELSS
"Oil, Gas & Consumable Fuels",,10.54%,SBI Long Term Equity Fund,ELSS
Healthcare,,8.94%,SBI Long Term Equity Fund,ELSS
Capital Goods,,8.71%,SBI Long Term Equity Fund,ELSS
Automobile and Auto Components,,8.57%,SBI Long Term Equity Fund,ELSS
Financial Services,,41.79%,SBI Tax Advantage Fund - Series 3,ELSS
Current Assets,,16.73%,SBI Tax Advantage Fund - Series 3,ELSS
Chemicals,,7.27%,SBI Tax Advantage Fund - Series 3,ELSS
Telecommunication,,6.14%,SBI Tax Advantage Fund - Series 3,ELSS
Healthcare,,5.46%,SBI Tax Advantage Fund - Series 3,ELSS
Financial Services,,19.49%,Shriram ELSS Tax Saver Fund,ELSS
Information Technology,,12.37%,Shriram ELSS Tax Saver Fund,ELSS
"Oil, Gas & Consumable Fuels",,8.30%,Shriram ELSS Tax Saver Fund,ELSS
Healthcare,,7.88%,Shriram ELSS Tax Saver Fund,ELSS
Fast Moving Consumer Goods,,6.76%,Shriram ELSS Tax Saver Fund,ELSS
Financial Services,,35.84%,Sundaram Diversified Equity,ELSS
Information Technology,,10.95%,Sundaram Diversified Equity,ELSS
Fast Moving Consumer Goods,,8.50%,Sundaram Diversified Equity,ELSS
"Oil, Gas & Consumable Fuels",,7.12%,Sundaram Diversified Equity,ELSS
Healthcare,,6.02%,Sundaram Diversified Equity,ELSS
Financial Services,,34.30%,Sundaram ELSS Tax Saver Fund,ELSS
Information Technology,,10.15%,Sundaram ELSS Tax Saver Fund,ELSS
Healthcare,,7.91%,Sundaram ELSS Tax Saver Fund,ELSS
Fast Moving Consumer Goods,,7.08%,Sundaram ELSS Tax Saver Fund,ELSS
"Oil, Gas & Consumable Fuels",,5.94%,Sundaram ELSS Tax Saver Fund,ELSS
Financial Services,,23.90%,Sundaram Long Term Micro Cap Tax Advantage Fund - Series III,ELSS
Capital Goods,,18.24%,Sundaram Long Term Micro Cap Tax Advantage Fund - Series III,ELSS
Consumer Durables,,14.47%,Sundaram Long Term Micro Cap Tax Advantage Fund - Series III,ELSS
Consumer Services,,5.71%,Sundaram Long Term Micro Cap Tax Advantage Fund - Series III,ELSS
Healthcare,,5.44%,Sundaram Long Term Micro Cap Tax Advantage Fund - Series III,ELSS
Financial Services,,24.23%,Sundaram Long Term Micro Cap Tax Advantage Fund - Series IV,ELSS
Capital Goods,,17.90%,Sundaram Long Term Micro Cap Tax Advantage Fund - Series IV,ELSS
Consumer Durables,,14.63%,Sundaram Long Term Micro Cap Tax Advantage Fund - Series IV,ELSS
Consumer Services,,5.71%,Sundaram Long Term Micro Cap Tax Advantage Fund - Series IV,ELSS
Healthcare,,5.50%,Sundaram Long Term Micro Cap Tax Advantage Fund - Series IV,ELSS
Financial Services,,22.86%,Sundaram Long Term Micro Cap Tax Advantage Fund - Series V,ELSS
Capital Goods,,16.48%,Sundaram Long Term Micro Cap Tax Advantage Fund - Series V,ELSS
Consumer Durables,,14.58%,Sundaram Long Term Micro Cap Tax Advantage Fund - Series V,ELSS
Healthcare,,7.52%,Sundaram Long Term Micro Cap Tax Advantage Fund - Series V,ELSS
Consumer Services,,6.63%,Sundaram Long Term Micro Cap Tax Advantage Fund - Series V,ELSS
Financial Services,,22.60%,Sundaram Long Term Micro Cap Tax Advantage Fund - Series VI,ELSS
Capital Goods,,19.11%,Sundaram Long Term Micro Cap Tax Advantage Fund - Series VI,ELSS
Consumer Durables,,14.21%,Sundaram Long Term Micro Cap Tax Advantage Fund - Series VI,ELSS
Healthcare,,8.14%,Sundaram Long Term Micro Cap Tax Advantage Fund - Series VI,ELSS
Consumer Services,,5.80%,Sundaram Long Term Micro Cap Tax Advantage Fund - Series VI,ELSS
Financial Services,,34.36%,Sundaram Long Term Tax Advantage Fund - Series 1,ELSS
"Oil, Gas & Consumable Fuels",,10.47%,Sundaram Long Term Tax Advantage Fund - Series 1,ELSS
Information Technology,,10.45%,Sundaram Long Term Tax Advantage Fund - Series 1,ELSS
Construction Materials,,5.47%,Sundaram Long Term Tax Advantage Fund - Series 1,ELSS
Healthcare,,5.45%,Sundaram Long Term Tax Advantage Fund - Series 1,ELSS
Financial Services,,35.15%,Sundaram Long Term Tax Advantage Fund - Series II,ELSS
Information Technology,,11.80%,Sundaram Long Term Tax Advantage Fund - Series II,ELSS
"Oil, Gas & Consumable Fuels",,10.82%,Sundaram Long Term Tax Advantage Fund - Series II,ELSS
Construction,,5.37%,Sundaram Long Term Tax Advantage Fund - Series II,ELSS
Construction Materials,,5.30%,Sundaram Long Term Tax Advantage Fund - Series II,ELSS
Financial Services,,22.01%,Sundaram Long Term Tax Advantage Fund - Series III,ELSS
Capital Goods,,19.98%,Sundaram Long Term Tax Advantage Fund - Series III,ELSS
Consumer Durables,,12.96%,Sundaram Long Term Tax Advantage Fund - Series III,ELSS
Healthcare,,8.94%,Sundaram Long Term Tax Advantage Fund - Series III,ELSS
Consumer Services,,4.97%,Sundaram Long Term Tax Advantage Fund - Series III,ELSS
Financial Services,,21.67%,Sundaram Long Term Tax Advantage Fund - Series IV,ELSS
Capital Goods,,20.44%,Sundaram Long Term Tax Advantage Fund - Series IV,ELSS
Consumer Durables,,13.67%,Sundaram Long Term Tax Advantage Fund - Series IV,ELSS
Healthcare,,8.54%,Sundaram Long Term Tax Advantage Fund - Series IV,ELSS
Current Assets,,4.86%,Sundaram Long Term Tax Advantage Fund - Series IV,ELSS
Financial Services,,32.90%,Tata ELSS Tax Saver Fund,ELSS
Capital Goods,,9.73%,Tata ELSS Tax Saver Fund,ELSS
Information Technology,,8.75%,Tata ELSS Tax Saver Fund,ELSS
Automobile and Auto Components,,7.62%,Tata ELSS Tax Saver Fund,ELSS
"Oil, Gas & Consumable Fuels",,5.12%,Tata ELSS Tax Saver Fund,ELSS
Financial Services,,30.31%,Taurus ELSS Tax Saver Fund,ELSS
Information Technology,,18.90%,Taurus ELSS Tax Saver Fund,ELSS
Healthcare,,10.93%,Taurus ELSS Tax Saver Fund,ELSS
Services,,8.77%,Taurus ELSS Tax Saver Fund,ELSS
Fast Moving Consumer Goods,,5.62%,Taurus ELSS Tax Saver Fund,ELSS
Financial Services,,29.92%,Union ELSS Tax Saver Fund,ELSS
Information Technology,,10.30%,Union ELSS Tax Saver Fund,ELSS
Automobile and Auto Components,,9.02%,Union ELSS Tax Saver Fund,ELSS
Capital Goods,,7.78%,Union ELSS Tax Saver Fund,ELSS
Current Assets,,7.05%,Union ELSS Tax Saver Fund,ELSS
Financial Services,,30.17%,UTI ELSS Tax Saver Fund,ELSS
Information Technology,,10.28%,UTI ELSS Tax Saver Fund,ELSS
Automobile and Auto Components,,10.07%,UTI ELSS Tax Saver Fund,ELSS
Consumer Services,,7.57%,UTI ELSS Tax Saver Fund,ELSS
Fast Moving Consumer Goods,,7.02%,UTI ELSS Tax Saver Fund,ELSS
Financial Services,,34.92%,WhiteOak Capital ELSS Tax Saver Fund,ELSS
Capital Goods,,10.43%,WhiteOak Capital ELSS Tax Saver Fund,ELSS
Information Technology,,9.26%,WhiteOak Capital ELSS Tax Saver Fund,ELSS
Healthcare,,9.17%,WhiteOak Capital ELSS Tax Saver Fund,ELSS
Fast Moving Consumer Goods,,8.00%,WhiteOak Capital ELSS Tax Saver Fund,ELSS
Miscellaneous,,51.98%,Aditya Birla Sun Life Equity Savings Fund,Equity Savings
Financial Services,,15.46%,Aditya Birla Sun Life Equity Savings Fund,Equity Savings
Sovereign,,12.39%,Aditya Birla Sun Life Equity Savings Fund,Equity Savings
Mutual Funds,,6.57%,Aditya Birla Sun Life Equity Savings Fund,Equity Savings
Fast Moving Consumer Goods,,3.00%,Aditya Birla Sun Life Equity Savings Fund,Equity Savings
Current Assets,,37.52%,Axis Equity Saver Fund,Equity Savings
Sovereign,,17.12%,Axis Equity Saver Fund,Equity Savings
Financial Services,,14.87%,Axis Equity Saver Fund,Equity Savings
Information Technology,,7.11%,Axis Equity Saver Fund,Equity Savings
Automobile and Auto Components,,4.67%,Axis Equity Saver Fund,Equity Savings
Miscellaneous,,49.62%,Bandhan Equity Savings Fund,Equity Savings
Financial Services,,22.92%,Bandhan Equity Savings Fund,Equity Savings
Mutual Funds,,8.74%,Bandhan Equity Savings Fund,Equity Savings
Current Assets,,4.92%,Bandhan Equity Savings Fund,Equity Savings
Information Technology,,2.10%,Bandhan Equity Savings Fund,Equity Savings
Miscellaneous,,33.07%,Baroda BNP Paribas Equity Savings Fund,Equity Savings
Financial Services,,22.01%,Baroda BNP Paribas Equity Savings Fund,Equity Savings
Sovereign,,13.50%,Baroda BNP Paribas Equity Savings Fund,Equity Savings
Current Assets,,5.28%,Baroda BNP Paribas Equity Savings Fund,Equity Savings
Information Technology,,4.28%,Baroda BNP Paribas Equity Savings Fund,Equity Savings
Miscellaneous,,35.11%,DSP Equity Savings Fund,Equity Savings
Financial Services,,28.70%,DSP Equity Savings Fund,Equity Savings
Sovereign,,14.03%,DSP Equity Savings Fund,Equity Savings
Healthcare,,6.62%,DSP Equity Savings Fund,Equity Savings
Current Assets,,3.86%,DSP Equity Savings Fund,Equity Savings
Miscellaneous,,42.06%,Edelweiss Equity Savings Fund,Equity Savings
Current Assets,,19.55%,Edelweiss Equity Savings Fund,Equity Savings
Financial Services,,10.79%,Edelweiss Equity Savings Fund,Equity Savings
Sovereign,,7.36%,Edelweiss Equity Savings Fund,Equity Savings
Mutual Funds,,4.13%,Edelweiss Equity Savings Fund,Equity Savings
Miscellaneous,,48.69%,Franklin India Equity Savings Fund,Equity Savings
Financial Services,,17.46%,Franklin India Equity Savings Fund,Equity Savings
Sovereign,,14.50%,Franklin India Equity Savings Fund,Equity Savings
Current Assets,,7.10%,Franklin India Equity Savings Fund,Equity Savings
Information Technology,,2.16%,Franklin India Equity Savings Fund,Equity Savings
Miscellaneous,,32.55%,HDFC Equity Savings Fund,Equity Savings
Financial Services,,20.74%,HDFC Equity Savings Fund,Equity Savings
Sovereign,,12.34%,HDFC Equity Savings Fund,Equity Savings
Current Assets,,4.33%,HDFC Equity Savings Fund,Equity Savings
"Oil, Gas & Consumable Fuels",,3.67%,HDFC Equity Savings Fund,Equity Savings
Miscellaneous,,27.81%,HSBC Equity Savings Fund,Equity Savings
Sovereign,,20.84%,HSBC Equity Savings Fund,Equity Savings
Financial Services,,13.04%,HSBC Equity Savings Fund,Equity Savings
Capital Goods,,8.34%,HSBC Equity Savings Fund,Equity Savings
Consumer Durables,,7.34%,HSBC Equity Savings Fund,Equity Savings
Miscellaneous,,58.20%,ICICI Prudential Equity Savings Fund,Equity Savings
Sovereign,,12.36%,ICICI Prudential Equity Savings Fund,Equity Savings
Financial Services,,8.19%,ICICI Prudential Equity Savings Fund,Equity Savings
Fast Moving Consumer Goods,,4.89%,ICICI Prudential Equity Savings Fund,Equity Savings
Current Assets,,4.77%,ICICI Prudential Equity Savings Fund,Equity Savings
Current Assets,,168.88%,Invesco India Equity Savings Fund,Equity Savings
Mutual Funds,,16.74%,Invesco India Equity Savings Fund,Equity Savings
Sovereign,,5.26%,Invesco India Equity Savings Fund,Equity Savings
Capital Goods,,3.81%,Invesco India Equity Savings Fund,Equity Savings
Consumer Services,,3.19%,Invesco India Equity Savings Fund,Equity Savings
Miscellaneous,,33.51%,Kotak Equity Savings Fund,Equity Savings
Financial Services,,19.86%,Kotak Equity Savings Fund,Equity Savings
Mutual Funds,,10.79%,Kotak Equity Savings Fund,Equity Savings
Current Assets,,9.27%,Kotak Equity Savings Fund,Equity Savings
Fast Moving Consumer Goods,,5.03%,Kotak Equity Savings Fund,Equity Savings
Miscellaneous,,26.07%,LIC MF Equity Savings Fund,Equity Savings
Current Assets,,20.34%,LIC MF Equity Savings Fund,Equity Savings
Financial Services,,19.01%,LIC MF Equity Savings Fund,Equity Savings
Mutual Funds,,11.31%,LIC MF Equity Savings Fund,Equity Savings
Construction Materials,,4.87%,LIC MF Equity Savings Fund,Equity Savings
Current Assets,,33.22%,Mahindra Manulife Equity Savings Fund,Equity Savings
Financial Services,,16.55%,Mahindra Manulife Equity Savings Fund,Equity Savings
Sovereign,,15.74%,Mahindra Manulife Equity Savings Fund,Equity Savings
Capital Goods,,5.51%,Mahindra Manulife Equity Savings Fund,Equity Savings
"Oil, Gas & Consumable Fuels",,4.98%,Mahindra Manulife Equity Savings Fund,Equity Savings
Financial Services,,22.94%,Mirae Asset Equity Savings Fund,Equity Savings
Sovereign,,16.60%,Mirae Asset Equity Savings Fund,Equity Savings
Current Assets,,10.03%,Mirae Asset Equity Savings Fund,Equity Savings
Information Technology,,6.25%,Mirae Asset Equity Savings Fund,Equity Savings
"Oil, Gas & Consumable Fuels",,5.79%,Mirae Asset Equity Savings Fund,Equity Savings
Miscellaneous,,52.89%,Nippon India Equity Savings Fund,Equity Savings
Financial Services,,13.01%,Nippon India Equity Savings Fund,Equity Savings
Sovereign,,12.95%,Nippon India Equity Savings Fund,Equity Savings
Current Assets,,6.50%,Nippon India Equity Savings Fund,Equity Savings
Information Technology,,2.19%,Nippon India Equity Savings Fund,Equity Savings
Current Assets,,62.78%,PGIM India Equity Savings Fund,Equity Savings
Sovereign,,20.48%,PGIM India Equity Savings Fund,Equity Savings
Financial Services,,5.70%,PGIM India Equity Savings Fund,Equity Savings
Information Technology,,2.07%,PGIM India Equity Savings Fund,Equity Savings
"Oil, Gas & Consumable Fuels",,1.31%,PGIM India Equity Savings Fund,Equity Savings
Miscellaneous,,30.02%,SBI Equity Savings Fund,Equity Savings
Financial Services,,21.05%,SBI Equity Savings Fund,Equity Savings
Sovereign,,9.26%,SBI Equity Savings Fund,Equity Savings
Current Assets,,5.59%,SBI Equity Savings Fund,Equity Savings
Services,,4.56%,SBI Equity Savings Fund,Equity Savings
Miscellaneous,,32.67%,Sundaram Equity Savings Fund,Equity Savings
Financial Services,,18.27%,Sundaram Equity Savings Fund,Equity Savings
Current Assets,,11.13%,Sundaram Equity Savings Fund,Equity Savings
Sovereign,,10.86%,Sundaram Equity Savings Fund,Equity Savings
Healthcare,,4.95%,Sundaram Equity Savings Fund,Equity Savings
Miscellaneous,,38.19%,Tata Equity Savings Fund,Equity Savings
Financial Services,,10.55%,Tata Equity Savings Fund,Equity Savings
Current Assets,,10.03%,Tata Equity Savings Fund,Equity Savings
Sovereign,,8.93%,Tata Equity Savings Fund,Equity Savings
Power,,6.40%,Tata Equity Savings Fund,Equity Savings
Miscellaneous,,32.62%,Union Equity Savings Fund,Equity Savings
Sovereign,,20.61%,Union Equity Savings Fund,Equity Savings
Financial Services,,16.23%,Union Equity Savings Fund,Equity Savings
Current Assets,,7.50%,Union Equity Savings Fund,Equity Savings
Information Technology,,4.49%,Union Equity Savings Fund,Equity Savings
Miscellaneous,,37.15%,UTI Equity Savings Fund,Equity Savings
Financial Services,,19.55%,UTI Equity Savings Fund,Equity Savings
Sovereign,,16.88%,UTI Equity Savings Fund,Equity Savings
"Oil, Gas & Consumable Fuels",,4.31%,UTI Equity Savings Fund,Equity Savings
Current Assets,,4.09%,UTI Equity Savings Fund,Equity Savings
Automobile and Auto Components,,19.40%,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,ETFs - Others
Healthcare,,18.33%,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,ETFs - Others
Capital Goods,,17.95%,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,ETFs - Others
Financial Services,,12.61%,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,ETFs - Others
Consumer Services,,5.02%,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,ETFs - Others
Fast Moving Consumer Goods,,29.10%,Aditya Birla Sun Life Nifty 200 Quality 30 ETF,ETFs - Others
Information Technology,,25.99%,Aditya Birla Sun Life Nifty 200 Quality 30 ETF,ETFs - Others
Consumer Durables,,8.92%,Aditya Birla Sun Life Nifty 200 Quality 30 ETF,ETFs - Others
Automobile and Auto Components,,6.80%,Aditya Birla Sun Life Nifty 200 Quality 30 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,6.62%,Aditya Birla Sun Life Nifty 200 Quality 30 ETF,ETFs - Others
Financial Services,,35.24%,Aditya Birla Sun Life Nifty 50 ETF,ETFs - Others
Information Technology,,13.61%,Aditya Birla Sun Life Nifty 50 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.39%,Aditya Birla Sun Life Nifty 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,9.16%,Aditya Birla Sun Life Nifty 50 ETF,ETFs - Others
Automobile and Auto Components,,6.48%,Aditya Birla Sun Life Nifty 50 ETF,ETFs - Others
Financial Services,,99.99%,Aditya Birla Sun Life Nifty Bank ETF,ETFs - Others
Current Assets,,0.01%,Aditya Birla Sun Life Nifty Bank ETF,ETFs - Others
Healthcare,,99.80%,Aditya Birla Sun Life Nifty Healthcare ETF,ETFs - Others
Current Assets,,0.20%,Aditya Birla Sun Life Nifty Healthcare ETF,ETFs - Others
Information Technology,,99.97%,Aditya Birla Sun Life Nifty IT ETF,ETFs - Others
Current Assets,,0.03%,Aditya Birla Sun Life Nifty IT ETF,ETFs - Others
Financial Services,,20.30%,Aditya Birla Sun Life Nifty Next 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,12.66%,Aditya Birla Sun Life Nifty Next 50 ETF,ETFs - Others
Consumer Services,,11.61%,Aditya Birla Sun Life Nifty Next 50 ETF,ETFs - Others
Capital Goods,,11.12%,Aditya Birla Sun Life Nifty Next 50 ETF,ETFs - Others
Chemicals,,6.57%,Aditya Birla Sun Life Nifty Next 50 ETF,ETFs - Others
Financial Services,,39.11%,Aditya Birla Sun Life S&P BSE Sensex ETF,ETFs - Others
Information Technology,,15.03%,Aditya Birla Sun Life S&P BSE Sensex ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.81%,Aditya Birla Sun Life S&P BSE Sensex ETF,ETFs - Others
Fast Moving Consumer Goods,,8.99%,Aditya Birla Sun Life S&P BSE Sensex ETF,ETFs - Others
Automobile and Auto Components,,5.36%,Aditya Birla Sun Life S&P BSE Sensex ETF,ETFs - Others
Financial Services,,35.12%,Axis NIFTY 50 ETF,ETFs - Others
Information Technology,,13.62%,Axis NIFTY 50 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.40%,Axis NIFTY 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,9.17%,Axis NIFTY 50 ETF,ETFs - Others
Automobile and Auto Components,,6.47%,Axis NIFTY 50 ETF,ETFs - Others
Financial Services,,99.80%,Axis NIFTY Bank ETF,ETFs - Others
Current Assets,,0.20%,Axis NIFTY Bank ETF,ETFs - Others
Healthcare,,99.81%,Axis NIFTY Healthcare ETF,ETFs - Others
Current Assets,,0.19%,Axis NIFTY Healthcare ETF,ETFs - Others
Fast Moving Consumer Goods,,37.63%,Axis NIFTY India Consumption ETF,ETFs - Others
Automobile and Auto Components,,19.30%,Axis NIFTY India Consumption ETF,ETFs - Others
Consumer Durables,,13.77%,Axis NIFTY India Consumption ETF,ETFs - Others
Telecommunication,,10.10%,Axis NIFTY India Consumption ETF,ETFs - Others
Consumer Services,,8.35%,Axis NIFTY India Consumption ETF,ETFs - Others
Information Technology,,99.80%,Axis NIFTY IT ETF,ETFs - Others
Current Assets,,0.20%,Axis NIFTY IT ETF,ETFs - Others
Financial Services,,38.94%,AXIS S&P BSE SENSEX ETF,ETFs - Others
Information Technology,,15.06%,AXIS S&P BSE SENSEX ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.83%,AXIS S&P BSE SENSEX ETF,ETFs - Others
Fast Moving Consumer Goods,,9.00%,AXIS S&P BSE SENSEX ETF,ETFs - Others
Automobile and Auto Components,,5.36%,AXIS S&P BSE SENSEX ETF,ETFs - Others
Financial Services,,35.25%,Bandhan Nifty 50 ETF,ETFs - Others
Information Technology,,13.62%,Bandhan Nifty 50 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.40%,Bandhan Nifty 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,9.17%,Bandhan Nifty 50 ETF,ETFs - Others
Automobile and Auto Components,,6.48%,Bandhan Nifty 50 ETF,ETFs - Others
Financial Services,,38.93%,Bandhan S&P BSE Sensex ETF,ETFs - Others
Information Technology,,14.75%,Bandhan S&P BSE Sensex ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.81%,Bandhan S&P BSE Sensex ETF,ETFs - Others
Fast Moving Consumer Goods,,9.09%,Bandhan S&P BSE Sensex ETF,ETFs - Others
Automobile and Auto Components,,5.40%,Bandhan S&P BSE Sensex ETF,ETFs - Others
Financial Services,,71.44%,BHARAT Bond ETF - April 2025,ETFs - Others
"Oil, Gas & Consumable Fuels",,19.15%,BHARAT Bond ETF - April 2025,ETFs - Others
Power,,5.28%,BHARAT Bond ETF - April 2025,ETFs - Others
Miscellaneous,,3.09%,BHARAT Bond ETF - April 2025,ETFs - Others
Sovereign,,0.89%,BHARAT Bond ETF - April 2025,ETFs - Others
Financial Services,,42.29%,BHARAT Bond ETF - April 2030,ETFs - Others
Power,,15.04%,BHARAT Bond ETF - April 2030,ETFs - Others
"Oil, Gas & Consumable Fuels",,14.88%,BHARAT Bond ETF - April 2030,ETFs - Others
Sovereign,,11.14%,BHARAT Bond ETF - April 2030,ETFs - Others
Construction,,11.02%,BHARAT Bond ETF - April 2030,ETFs - Others
Financial Services,,42.27%,BHARAT Bond ETF - April 2031,ETFs - Others
Power,,17.92%,BHARAT Bond ETF - April 2031,ETFs - Others
Sovereign,,12.62%,BHARAT Bond ETF - April 2031,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.67%,BHARAT Bond ETF - April 2031,ETFs - Others
