Sector Name,Dummy,Percentage Allocation,Fund Type,Scheme Name
"Oil, Gas & Consumable Fuels",,10.55%,Shriram Multi Asset Allocation Fund,Multi Asset Allocation
Mutual Funds,,10.31%,Shriram Multi Asset Allocation Fund,Multi Asset Allocation
Sovereign,,9.07%,Shriram Multi Asset Allocation Fund,Multi Asset Allocation
Information Technology,,8.86%,Shriram Multi Asset Allocation Fund,Multi Asset Allocation
Financial Services,,22.70%,Tata Multi Asset Opportunities Fund,Multi Asset Allocation
Miscellaneous,,18.51%,Tata Multi Asset Opportunities Fund,Multi Asset Allocation
Commodity,,6.81%,Tata Multi Asset Opportunities Fund,Multi Asset Allocation
Capital Goods,,6.39%,Tata Multi Asset Opportunities Fund,Multi Asset Allocation
Information Technology,,4.95%,Tata Multi Asset Opportunities Fund,Multi Asset Allocation
Mutual Funds,,18.16%,UTI Multi Asset Allocation Fund,Multi Asset Allocation
Sovereign,,13.16%,UTI Multi Asset Allocation Fund,Multi Asset Allocation
Automobile and Auto Components,,10.90%,UTI Multi Asset Allocation Fund,Multi Asset Allocation
Financial Services,,9.56%,UTI Multi Asset Allocation Fund,Multi Asset Allocation
Miscellaneous,,9.24%,UTI Multi Asset Allocation Fund,Multi Asset Allocation
Financial Services,,27.96%,Aditya Birla Sun Life Multi-Cap Fund,Multi Cap Fund
Capital Goods,,11.66%,Aditya Birla Sun Life Multi-Cap Fund,Multi Cap Fund
Automobile and Auto Components,,8.43%,Aditya Birla Sun Life Multi-Cap Fund,Multi Cap Fund
Healthcare,,7.75%,Aditya Birla Sun Life Multi-Cap Fund,Multi Cap Fund
Information Technology,,7.31%,Aditya Birla Sun Life Multi-Cap Fund,Multi Cap Fund
Financial Services,,21.04%,Axis Multicap Fund,Multi Cap Fund
Information Technology,,15.57%,Axis Multicap Fund,Multi Cap Fund
Automobile and Auto Components,,15.34%,Axis Multicap Fund,Multi Cap Fund
Healthcare,,9.86%,Axis Multicap Fund,Multi Cap Fund
Realty,,7.77%,Axis Multicap Fund,Multi Cap Fund
Financial Services,,26.44%,Bandhan Multi Cap Fund,Multi Cap Fund
Information Technology,,7.94%,Bandhan Multi Cap Fund,Multi Cap Fund
Healthcare,,7.26%,Bandhan Multi Cap Fund,Multi Cap Fund
Automobile and Auto Components,,7.17%,Bandhan Multi Cap Fund,Multi Cap Fund
Fast Moving Consumer Goods,,6.68%,Bandhan Multi Cap Fund,Multi Cap Fund
Financial Services,,23.31%,Bank of India Multi Cap Fund,Multi Cap Fund
Automobile and Auto Components,,11.13%,Bank of India Multi Cap Fund,Multi Cap Fund
Capital Goods,,10.69%,Bank of India Multi Cap Fund,Multi Cap Fund
Information Technology,,6.94%,Bank of India Multi Cap Fund,Multi Cap Fund
Healthcare,,6.72%,Bank of India Multi Cap Fund,Multi Cap Fund
Financial Services,,25.18%,Baroda BNP Paribas Multi Cap Fund,Multi Cap Fund
Capital Goods,,10.56%,Baroda BNP Paribas Multi Cap Fund,Multi Cap Fund
Information Technology,,10.14%,Baroda BNP Paribas Multi Cap Fund,Multi Cap Fund
Healthcare,,8.27%,Baroda BNP Paribas Multi Cap Fund,Multi Cap Fund
Automobile and Auto Components,,7.70%,Baroda BNP Paribas Multi Cap Fund,Multi Cap Fund
Financial Services,,27.59%,Canara Robeco Multi Cap Fund,Multi Cap Fund
Capital Goods,,13.17%,Canara Robeco Multi Cap Fund,Multi Cap Fund
Fast Moving Consumer Goods,,10.29%,Canara Robeco Multi Cap Fund,Multi Cap Fund
Healthcare,,10.02%,Canara Robeco Multi Cap Fund,Multi Cap Fund
Automobile and Auto Components,,7.29%,Canara Robeco Multi Cap Fund,Multi Cap Fund
Financial Services,,26.10%,Edelweiss Multi Cap Fund,Multi Cap Fund
Information Technology,,10.89%,Edelweiss Multi Cap Fund,Multi Cap Fund
Capital Goods,,10.73%,Edelweiss Multi Cap Fund,Multi Cap Fund
Healthcare,,7.47%,Edelweiss Multi Cap Fund,Multi Cap Fund
Automobile and Auto Components,,6.87%,Edelweiss Multi Cap Fund,Multi Cap Fund
Financial Services,,25.82%,HDFC Multi Cap Fund,Multi Cap Fund
Capital Goods,,10.19%,HDFC Multi Cap Fund,Multi Cap Fund
Information Technology,,9.13%,HDFC Multi Cap Fund,Multi Cap Fund
Automobile and Auto Components,,6.19%,HDFC Multi Cap Fund,Multi Cap Fund
"Oil, Gas & Consumable Fuels",,6.18%,HDFC Multi Cap Fund,Multi Cap Fund
Financial Services,,21.73%,HSBC Multi Cap Fund,Multi Cap Fund
Capital Goods,,16.70%,HSBC Multi Cap Fund,Multi Cap Fund
Information Technology,,11.89%,HSBC Multi Cap Fund,Multi Cap Fund
Healthcare,,7.01%,HSBC Multi Cap Fund,Multi Cap Fund
Construction,,5.68%,HSBC Multi Cap Fund,Multi Cap Fund
Financial Services,,20.06%,ICICI Prudential Multicap Fund,Multi Cap Fund
"Oil, Gas & Consumable Fuels",,11.46%,ICICI Prudential Multicap Fund,Multi Cap Fund
Automobile and Auto Components,,9.21%,ICICI Prudential Multicap Fund,Multi Cap Fund
Healthcare,,7.82%,ICICI Prudential Multicap Fund,Multi Cap Fund
Information Technology,,7.57%,ICICI Prudential Multicap Fund,Multi Cap Fund
Financial Services,,31.08%,Invesco India Multicap Fund,Multi Cap Fund
Capital Goods,,13.10%,Invesco India Multicap Fund,Multi Cap Fund
Automobile and Auto Components,,11.89%,Invesco India Multicap Fund,Multi Cap Fund
Information Technology,,9.24%,Invesco India Multicap Fund,Multi Cap Fund
Healthcare,,5.18%,Invesco India Multicap Fund,Multi Cap Fund
Financial Services,,25.89%,ITI Multi Cap Fund,Multi Cap Fund
Capital Goods,,14.59%,ITI Multi Cap Fund,Multi Cap Fund
Information Technology,,6.16%,ITI Multi Cap Fund,Multi Cap Fund
Consumer Services,,6.01%,ITI Multi Cap Fund,Multi Cap Fund
Automobile and Auto Components,,5.64%,ITI Multi Cap Fund,Multi Cap Fund
Financial Services,,24.96%,Kotak Multicap Fund,Multi Cap Fund
Automobile and Auto Components,,11.87%,Kotak Multicap Fund,Multi Cap Fund
Fast Moving Consumer Goods,,7.89%,Kotak Multicap Fund,Multi Cap Fund
"Oil, Gas & Consumable Fuels",,6.61%,Kotak Multicap Fund,Multi Cap Fund
"Media, Entertainment & Publication",,6.09%,Kotak Multicap Fund,Multi Cap Fund
Financial Services,,23.98%,LIC MF Multi Cap Fund,Multi Cap Fund
Capital Goods,,14.64%,LIC MF Multi Cap Fund,Multi Cap Fund
Automobile and Auto Components,,11.53%,LIC MF Multi Cap Fund,Multi Cap Fund
Consumer Durables,,6.32%,LIC MF Multi Cap Fund,Multi Cap Fund
Chemicals,,6.19%,LIC MF Multi Cap Fund,Multi Cap Fund
Financial Services,,19.83%,Mahindra Manulife Multi Cap Fund,Multi Cap Fund
Capital Goods,,12.20%,Mahindra Manulife Multi Cap Fund,Multi Cap Fund
Information Technology,,10.15%,Mahindra Manulife Multi Cap Fund,Multi Cap Fund
Consumer Durables,,7.97%,Mahindra Manulife Multi Cap Fund,Multi Cap Fund
Power,,7.43%,Mahindra Manulife Multi Cap Fund,Multi Cap Fund
Financial Services,,27.77%,Mirae Asset Multicap Fund,Multi Cap Fund
Healthcare,,9.41%,Mirae Asset Multicap Fund,Multi Cap Fund
Consumer Durables,,8.01%,Mirae Asset Multicap Fund,Multi Cap Fund
Information Technology,,6.74%,Mirae Asset Multicap Fund,Multi Cap Fund
Automobile and Auto Components,,6.69%,Mirae Asset Multicap Fund,Multi Cap Fund
Financial Services,,30.43%,Nippon India Multi Cap Fund,Multi Cap Fund
Consumer Services,,12.45%,Nippon India Multi Cap Fund,Multi Cap Fund
Capital Goods,,10.65%,Nippon India Multi Cap Fund,Multi Cap Fund
Healthcare,,7.83%,Nippon India Multi Cap Fund,Multi Cap Fund
Automobile and Auto Components,,6.27%,Nippon India Multi Cap Fund,Multi Cap Fund
Financial Services,,17.90%,Quant Active Fund,Multi Cap Fund
Metals & Mining,,14.67%,Quant Active Fund,Multi Cap Fund
"Oil, Gas & Consumable Fuels",,14.63%,Quant Active Fund,Multi Cap Fund
Healthcare,,11.10%,Quant Active Fund,Multi Cap Fund
Fast Moving Consumer Goods,,8.78%,Quant Active Fund,Multi Cap Fund
Financial Services,,21.21%,SBI Multicap Fund,Multi Cap Fund
Consumer Durables,,8.53%,SBI Multicap Fund,Multi Cap Fund
Automobile and Auto Components,,8.08%,SBI Multicap Fund,Multi Cap Fund
Healthcare,,7.76%,SBI Multicap Fund,Multi Cap Fund
Consumer Services,,6.82%,SBI Multicap Fund,Multi Cap Fund
Financial Services,,29.17%,Sundaram Multi cap Fund,Multi Cap Fund
Capital Goods,,10.35%,Sundaram Multi cap Fund,Multi Cap Fund
Automobile and Auto Components,,9.59%,Sundaram Multi cap Fund,Multi Cap Fund
Healthcare,,8.54%,Sundaram Multi cap Fund,Multi Cap Fund
Information Technology,,6.73%,Sundaram Multi cap Fund,Multi Cap Fund
Financial Services,,30.14%,Tata Multicap Fund,Multi Cap Fund
Information Technology,,7.32%,Tata Multicap Fund,Multi Cap Fund
Automobile and Auto Components,,7.06%,Tata Multicap Fund,Multi Cap Fund
Capital Goods,,6.39%,Tata Multicap Fund,Multi Cap Fund
Current Assets,,4.84%,Tata Multicap Fund,Multi Cap Fund
Financial Services,,26.96%,Union Multicap Fund,Multi Cap Fund
Automobile and Auto Components,,10.81%,Union Multicap Fund,Multi Cap Fund
Information Technology,,9.37%,Union Multicap Fund,Multi Cap Fund
Capital Goods,,8.98%,Union Multicap Fund,Multi Cap Fund
Current Assets,,5.48%,Union Multicap Fund,Multi Cap Fund
Financial Services,,28.54%,WhiteOak Capital Multi Cap Fund,Multi Cap Fund
Capital Goods,,11.13%,WhiteOak Capital Multi Cap Fund,Multi Cap Fund
Information Technology,,9.45%,WhiteOak Capital Multi Cap Fund,Multi Cap Fund
Healthcare,,9.10%,WhiteOak Capital Multi Cap Fund,Multi Cap Fund
Fast Moving Consumer Goods,,6.63%,WhiteOak Capital Multi Cap Fund,Multi Cap Fund
Financial Services,,33.44%,Aditya Birla Sun Life Retirement Fund - The 30s Plan,Retirement Fund
Healthcare,,9.94%,Aditya Birla Sun Life Retirement Fund - The 30s Plan,Retirement Fund
Automobile and Auto Components,,9.08%,Aditya Birla Sun Life Retirement Fund - The 30s Plan,Retirement Fund
Fast Moving Consumer Goods,,7.69%,Aditya Birla Sun Life Retirement Fund - The 30s Plan,Retirement Fund
Information Technology,,6.29%,Aditya Birla Sun Life Retirement Fund - The 30s Plan,Retirement Fund
Financial Services,,26.85%,Aditya Birla Sun Life Retirement Fund - The 40s Plan,Retirement Fund
Sovereign,,12.70%,Aditya Birla Sun Life Retirement Fund - The 40s Plan,Retirement Fund
Healthcare,,9.53%,Aditya Birla Sun Life Retirement Fund - The 40s Plan,Retirement Fund
Current Assets,,9.14%,Aditya Birla Sun Life Retirement Fund - The 40s Plan,Retirement Fund
Automobile and Auto Components,,7.27%,Aditya Birla Sun Life Retirement Fund - The 40s Plan,Retirement Fund
Sovereign,,54.76%,Aditya Birla Sun Life Retirement Fund - The 50s Plan,Retirement Fund
Financial Services,,15.79%,Aditya Birla Sun Life Retirement Fund - The 50s Plan,Retirement Fund
Current Assets,,14.03%,Aditya Birla Sun Life Retirement Fund - The 50s Plan,Retirement Fund
Healthcare,,3.24%,Aditya Birla Sun Life Retirement Fund - The 50s Plan,Retirement Fund
Automobile and Auto Components,,2.01%,Aditya Birla Sun Life Retirement Fund - The 50s Plan,Retirement Fund
Sovereign,,72.73%,Aditya Birla Sun Life Retirement Fund - The 50s Plus-Debt Plan,Retirement Fund
Financial Services,,13.69%,Aditya Birla Sun Life Retirement Fund - The 50s Plus-Debt Plan,Retirement Fund
Telecommunication,,11.75%,Aditya Birla Sun Life Retirement Fund - The 50s Plus-Debt Plan,Retirement Fund
Current Assets,,1.82%,Aditya Birla Sun Life Retirement Fund - The 50s Plus-Debt Plan,Retirement Fund
Financial Services,,22.27%,Axis Retirement Savings Fund - Aggressive Plan,Retirement Fund
Sovereign,,12.24%,Axis Retirement Savings Fund - Aggressive Plan,Retirement Fund
Information Technology,,10.81%,Axis Retirement Savings Fund - Aggressive Plan,Retirement Fund
Chemicals,,7.37%,Axis Retirement Savings Fund - Aggressive Plan,Retirement Fund
Capital Goods,,6.14%,Axis Retirement Savings Fund - Aggressive Plan,Retirement Fund
Sovereign,,28.03%,Axis Retirement Savings Fund - Conservative Plan,Retirement Fund
Financial Services,,26.94%,Axis Retirement Savings Fund - Conservative Plan,Retirement Fund
Information Technology,,9.61%,Axis Retirement Savings Fund - Conservative Plan,Retirement Fund
Automobile and Auto Components,,7.73%,Axis Retirement Savings Fund - Conservative Plan,Retirement Fund
Current Assets,,7.21%,Axis Retirement Savings Fund - Conservative Plan,Retirement Fund
Financial Services,,27.13%,Axis Retirement Savings Fund - Dynamic Plan,Retirement Fund
Automobile and Auto Components,,8.98%,Axis Retirement Savings Fund - Dynamic Plan,Retirement Fund
Information Technology,,8.48%,Axis Retirement Savings Fund - Dynamic Plan,Retirement Fund
Healthcare,,8.39%,Axis Retirement Savings Fund - Dynamic Plan,Retirement Fund
Consumer Services,,5.61%,Axis Retirement Savings Fund - Dynamic Plan,Retirement Fund
Financial Services,,97.58%,Aditya Birla Sun Life Banking and Financial Services Fund,Sectoral
Current Assets,,2.00%,Aditya Birla Sun Life Banking and Financial Services Fund,Sectoral
Mutual Funds,,0.42%,Aditya Birla Sun Life Banking and Financial Services Fund,Sectoral
Information Technology,,77.65%,Aditya Birla Sun Life Digital India Fund,Sectoral
Telecommunication,,7.44%,Aditya Birla Sun Life Digital India Fund,Sectoral
Consumer Services,,4.10%,Aditya Birla Sun Life Digital India Fund,Sectoral
Current Assets,,3.10%,Aditya Birla Sun Life Digital India Fund,Sectoral
Services,,2.59%,Aditya Birla Sun Life Digital India Fund,Sectoral
Capital Goods,,27.04%,Aditya Birla Sun Life Infrastructure Fund,Sectoral
Construction,,23.90%,Aditya Birla Sun Life Infrastructure Fund,Sectoral
Financial Services,,7.29%,Aditya Birla Sun Life Infrastructure Fund,Sectoral
Construction Materials,,6.68%,Aditya Birla Sun Life Infrastructure Fund,Sectoral
"Oil, Gas & Consumable Fuels",,5.57%,Aditya Birla Sun Life Infrastructure Fund,Sectoral
Healthcare,,93.02%,Aditya Birla Sun Life Pharma & Healthcare Fund,Sectoral
Current Assets,,4.41%,Aditya Birla Sun Life Pharma & Healthcare Fund,Sectoral
Financial Services,,1.28%,Aditya Birla Sun Life Pharma & Healthcare Fund,Sectoral
Consumer Services,,0.73%,Aditya Birla Sun Life Pharma & Healthcare Fund,Sectoral
Chemicals,,0.56%,Aditya Birla Sun Life Pharma & Healthcare Fund,Sectoral
Financial Services,,94.51%,Bandhan Financial Services Fund,Sectoral
Current Assets,,4.79%,Bandhan Financial Services Fund,Sectoral
Miscellaneous,,0.70%,Bandhan Financial Services Fund,Sectoral
Construction,,32.23%,Bandhan Infrastructure Fund,Sectoral
Capital Goods,,23.36%,Bandhan Infrastructure Fund,Sectoral
Construction Materials,,12.49%,Bandhan Infrastructure Fund,Sectoral
Services,,8.77%,Bandhan Infrastructure Fund,Sectoral
Power,,7.91%,Bandhan Infrastructure Fund,Sectoral
Automobile and Auto Components,,71.31%,Bandhan Transportation and Logistics Fund,Sectoral
Services,,14.76%,Bandhan Transportation and Logistics Fund,Sectoral
Capital Goods,,6.57%,Bandhan Transportation and Logistics Fund,Sectoral
Consumer Services,,3.10%,Bandhan Transportation and Logistics Fund,Sectoral
Current Assets,,2.41%,Bandhan Transportation and Logistics Fund,Sectoral
Capital Goods,,17.38%,Bank of India Manufacturing & Infrastructure Fund,Sectoral
Automobile and Auto Components,,13.35%,Bank of India Manufacturing & Infrastructure Fund,Sectoral
Construction,,11.16%,Bank of India Manufacturing & Infrastructure Fund,Sectoral
"Oil, Gas & Consumable Fuels",,9.75%,Bank of India Manufacturing & Infrastructure Fund,Sectoral
Realty,,7.16%,Bank of India Manufacturing & Infrastructure Fund,Sectoral
Financial Services,,97.31%,Baroda BNP Paribas Banking & Financial Services Fund,Sectoral
Current Assets,,2.22%,Baroda BNP Paribas Banking & Financial Services Fund,Sectoral
Information Technology,,1.04%,Baroda BNP Paribas Banking & Financial Services Fund,Sectoral
Sovereign,,0.44%,Baroda BNP Paribas Banking & Financial Services Fund,Sectoral
Miscellaneous,,-1.01%,Baroda BNP Paribas Banking & Financial Services Fund,Sectoral
Capital Goods,,17.94%,Aditya Birla Sun Life Small Cap Fund,Small cap Fund
Financial Services,,16.34%,Aditya Birla Sun Life Small Cap Fund,Small cap Fund
Information Technology,,8.66%,Aditya Birla Sun Life Small Cap Fund,Small cap Fund
Automobile and Auto Components,,7.54%,Aditya Birla Sun Life Small Cap Fund,Small cap Fund
Consumer Durables,,6.92%,Aditya Birla Sun Life Small Cap Fund,Small cap Fund
Financial Services,,14.17%,Axis Small Cap Fund,Small cap Fund
Healthcare,,12.57%,Axis Small Cap Fund,Small cap Fund
Capital Goods,,11.62%,Axis Small Cap Fund,Small cap Fund
Automobile and Auto Components,,10.55%,Axis Small Cap Fund,Small cap Fund
Information Technology,,9.80%,Axis Small Cap Fund,Small cap Fund
Financial Services,,22.96%,Bandhan Small Cap Fund,Small cap Fund
Capital Goods,,12.32%,Bandhan Small Cap Fund,Small cap Fund
Current Assets,,8.32%,Bandhan Small Cap Fund,Small cap Fund
Healthcare,,7.26%,Bandhan Small Cap Fund,Small cap Fund
Automobile and Auto Components,,5.92%,Bandhan Small Cap Fund,Small cap Fund
Financial Services,,20.97%,Bank of India Small Cap Fund,Small cap Fund
Capital Goods,,20.30%,Bank of India Small Cap Fund,Small cap Fund
Healthcare,,10.12%,Bank of India Small Cap Fund,Small cap Fund
Fast Moving Consumer Goods,,9.34%,Bank of India Small Cap Fund,Small cap Fund
Automobile and Auto Components,,8.92%,Bank of India Small Cap Fund,Small cap Fund
Financial Services,,26.39%,360 ONE Quant Fund,Thematic
Capital Goods,,18.84%,360 ONE Quant Fund,Thematic
Healthcare,,9.55%,360 ONE Quant Fund,Thematic
Automobile and Auto Components,,9.11%,360 ONE Quant Fund,Thematic
Information Technology,,8.82%,360 ONE Quant Fund,Thematic
Financial Services,,24.99%,Aditya Birla Sun Life Business Cycle Fund,Thematic
Information Technology,,10.23%,Aditya Birla Sun Life Business Cycle Fund,Thematic
Healthcare,,7.66%,Aditya Birla Sun Life Business Cycle Fund,Thematic
Capital Goods,,7.46%,Aditya Birla Sun Life Business Cycle Fund,Thematic
Fast Moving Consumer Goods,,6.79%,Aditya Birla Sun Life Business Cycle Fund,Thematic
Financial Services,,29.94%,Aditya Birla Sun Life ESG Integration Strategy Fund,Thematic
Information Technology,,24.13%,Aditya Birla Sun Life ESG Integration Strategy Fund,Thematic
Automobile and Auto Components,,13.14%,Aditya Birla Sun Life ESG Integration Strategy Fund,Thematic
Consumer Durables,,9.72%,Aditya Birla Sun Life ESG Integration Strategy Fund,Thematic
Capital Goods,,5.30%,Aditya Birla Sun Life ESG Integration Strategy Fund,Thematic
Fast Moving Consumer Goods,,27.71%,Aditya Birla Sun Life India GenNext Fund,Thematic
Financial Services,,21.89%,Aditya Birla Sun Life India GenNext Fund,Thematic
Automobile and Auto Components,,11.66%,Aditya Birla Sun Life India GenNext Fund,Thematic
Consumer Services,,11.47%,Aditya Birla Sun Life India GenNext Fund,Thematic
Consumer Durables,,8.40%,Aditya Birla Sun Life India GenNext Fund,Thematic
Financial Services,,24.42%,Aditya Birla Sun Life International Equity Fund,Thematic
Fast Moving Consumer Goods,,16.84%,Aditya Birla Sun Life International Equity Fund,Thematic
Capital Goods,,15.15%,Aditya Birla Sun Life International Equity Fund,Thematic
Healthcare,,14.67%,Aditya Birla Sun Life International Equity Fund,Thematic
Information Technology,,9.27%,Aditya Birla Sun Life International Equity Fund,Thematic
Capital Goods,,24.65%,Aditya Birla Sun Life Manufacturing Equity Fund,Thematic
Fast Moving Consumer Goods,,15.80%,Aditya Birla Sun Life Manufacturing Equity Fund,Thematic
Metals & Mining,,11.32%,Aditya Birla Sun Life Manufacturing Equity Fund,Thematic
Automobile and Auto Components,,10.95%,Aditya Birla Sun Life Manufacturing Equity Fund,Thematic
Consumer Durables,,9.93%,Aditya Birla Sun Life Manufacturing Equity Fund,Thematic
Fast Moving Consumer Goods,,18.85%,Aditya Birla Sun Life MNC Fund,Thematic
Healthcare,,16.15%,Aditya Birla Sun Life MNC Fund,Thematic
Capital Goods,,15.07%,Aditya Birla Sun Life MNC Fund,Thematic
Automobile and Auto Components,,13.20%,Aditya Birla Sun Life MNC Fund,Thematic
Financial Services,,10.07%,Aditya Birla Sun Life MNC Fund,Thematic
Financial Services,,30.97%,Aditya Birla Sun Life PSU Equity Fund,Thematic
"Oil, Gas & Consumable Fuels",,23.00%,Aditya Birla Sun Life PSU Equity Fund,Thematic
Power,,14.28%,Aditya Birla Sun Life PSU Equity Fund,Thematic
Capital Goods,,10.08%,Aditya Birla Sun Life PSU Equity Fund,Thematic
Current Assets,,8.85%,Aditya Birla Sun Life PSU Equity Fund,Thematic
Financial Services,,27.89%,Aditya Birla Sun Life Special Opportunities Fund,Thematic
Information Technology,,11.75%,Aditya Birla Sun Life Special Opportunities Fund,Thematic
Automobile and Auto Components,,9.72%,Aditya Birla Sun Life Special Opportunities Fund,Thematic
Healthcare,,8.35%,Aditya Birla Sun Life Special Opportunities Fund,Thematic
Fast Moving Consumer Goods,,6.43%,Aditya Birla Sun Life Special Opportunities Fund,Thematic
Automobile and Auto Components,,64.69%,Aditya Birla Sun Life Transportation and Logistics Fund,Thematic
Services,,10.93%,Aditya Birla Sun Life Transportation and Logistics Fund,Thematic
Current Assets,,9.96%,Aditya Birla Sun Life Transportation and Logistics Fund,Thematic
Consumer Services,,6.61%,Aditya Birla Sun Life Transportation and Logistics Fund,Thematic
Information Technology,,2.93%,Aditya Birla Sun Life Transportation and Logistics Fund,Thematic
Financial Services,,19.36%,Axis Business Cycles Fund,Thematic
Automobile and Auto Components,,12.22%,Axis Business Cycles Fund,Thematic
Information Technology,,10.63%,Axis Business Cycles Fund,Thematic
Capital Goods,,9.46%,Axis Business Cycles Fund,Thematic
"Oil, Gas & Consumable Fuels",,7.28%,Axis Business Cycles Fund,Thematic
Information Technology,,22.67%,Thematic
Financial Services,,20.90%,Thematic
Consumer Services,,11.22%,Thematic
Automobile and Auto Components,,10.22%,Thematic
Fast Moving Consumer Goods,,6.79%,Thematic
Information Technology,,22.67%,Axis ESG Integration Strategy Fund,Thematic
Financial Services,,20.90%,Axis ESG Integration Strategy Fund,Thematic
Consumer Services,,11.22%,Axis ESG Integration Strategy Fund,Thematic
Automobile and Auto Components,,10.22%,Axis ESG Integration Strategy Fund,Thematic
Fast Moving Consumer Goods,,6.79%,Axis ESG Integration Strategy Fund,Thematic
Financial Services,,25.63%,Aditya Birla Sun Life Pure Value Fund,Value Fund
Information Technology,,11.67%,Aditya Birla Sun Life Pure Value Fund,Value Fund
Capital Goods,,11.04%,Aditya Birla Sun Life Pure Value Fund,Value Fund
Automobile and Auto Components,,7.26%,Aditya Birla Sun Life Pure Value Fund,Value Fund
Healthcare,,6.59%,Aditya Birla Sun Life Pure Value Fund,Value Fund
Financial Services,,23.27%,Axis Value Fund,Value Fund
Automobile and Auto Components,,11.19%,Axis Value Fund,Value Fund
Information Technology,,10.80%,Axis Value Fund,Value Fund
Healthcare,,9.08%,Axis Value Fund,Value Fund
Capital Goods,,7.75%,Axis Value Fund,Value Fund
Financial Services,,27.16%,Bandhan Sterling Value Fund,Value Fund
Automobile and Auto Components,,9.00%,Bandhan Sterling Value Fund,Value Fund
Healthcare,,7.87%,Bandhan Sterling Value Fund,Value Fund
Fast Moving Consumer Goods,,7.80%,Bandhan Sterling Value Fund,Value Fund
Information Technology,,7.70%,Bandhan Sterling Value Fund,Value Fund
Financial Services,,27.80%,Baroda BNP Paribas Value Fund,Value Fund
"Oil, Gas & Consumable Fuels",,13.55%,Baroda BNP Paribas Value Fund,Value Fund
Information Technology,,11.11%,Baroda BNP Paribas Value Fund,Value Fund
Healthcare,,9.76%,Baroda BNP Paribas Value Fund,Value Fund
Power,,9.34%,Baroda BNP Paribas Value Fund,Value Fund
Financial Services,,32.36%,Canara Robeco Value Fund,Value Fund
Information Technology,,9.40%,Canara Robeco Value Fund,Value Fund
Healthcare,,8.64%,Canara Robeco Value Fund,Value Fund
Fast Moving Consumer Goods,,8.17%,Canara Robeco Value Fund,Value Fund
Capital Goods,,7.62%,Canara Robeco Value Fund,Value Fund
Mutual Funds,,18.22%,DSP Value Fund,Value Fund
Healthcare,,12.70%,DSP Value Fund,Value Fund
Miscellaneous,,10.81%,DSP Value Fund,Value Fund
Information Technology,,7.90%,DSP Value Fund,Value Fund
Automobile and Auto Components,,7.17%,DSP Value Fund,Value Fund
Financial Services,,37.70%,Groww Value Fund,Value Fund
Information Technology,,13.21%,Groww Value Fund,Value Fund
Automobile and Auto Components,,13.03%,Groww Value Fund,Value Fund
Power,,8.10%,Groww Value Fund,Value Fund
Construction,,6.81%,Groww Value Fund,Value Fund
Financial Services,,34.03%,HDFC Capital Builder Value Fund,Value Fund
Information Technology,,10.87%,HDFC Capital Builder Value Fund,Value Fund
Fast Moving Consumer Goods,,7.26%,HDFC Capital Builder Value Fund,Value Fund
Healthcare,,6.88%,HDFC Capital Builder Value Fund,Value Fund
Capital Goods,,5.98%,HDFC Capital Builder Value Fund,Value Fund
Financial Services,,26.88%,HSBC Value Fund,Value Fund
Capital Goods,,12.09%,HSBC Value Fund,Value Fund
Information Technology,,10.05%,HSBC Value Fund,Value Fund
Construction,,6.18%,HSBC Value Fund,Value Fund
Automobile and Auto Components,,5.90%,HSBC Value Fund,Value Fund
Financial Services,,24.51%,ICICI Prudential Value Discovery Fund,Value Fund
"Oil, Gas & Consumable Fuels",,14.62%,ICICI Prudential Value Discovery Fund,Value Fund
Healthcare,,12.14%,ICICI Prudential Value Discovery Fund,Value Fund
Telecommunication,,8.92%,ICICI Prudential Value Discovery Fund,Value Fund
Information Technology,,7.59%,ICICI Prudential Value Discovery Fund,Value Fund
Financial Services,,25.41%,ITI Value Fund,Value Fund
"Oil, Gas & Consumable Fuels",,7.15%,ITI Value Fund,Value Fund
Capital Goods,,6.70%,ITI Value Fund,Value Fund
Power,,6.52%,ITI Value Fund,Value Fund
Information Technology,,6.25%,ITI Value Fund,Value Fund
Financial Services,,21.95%,JM Value Fund,Value Fund
Capital Goods,,9.14%,JM Value Fund,Value Fund
Automobile and Auto Components,,7.10%,JM Value Fund,Value Fund
Information Technology,,5.93%,JM Value Fund,Value Fund
Fast Moving Consumer Goods,,5.72%,JM Value Fund,Value Fund
Financial Services,,35.79%,LIC MF Long Term Value Fund,Value Fund
Information Technology,,11.95%,LIC MF Long Term Value Fund,Value Fund
Fast Moving Consumer Goods,,7.66%,LIC MF Long Term Value Fund,Value Fund
"Oil, Gas & Consumable Fuels",,6.59%,LIC MF Long Term Value Fund,Value Fund
Automobile and Auto Components,,5.53%,LIC MF Long Term Value Fund,Value Fund
